,이름,주소,구 이름
351,국립국악원점,"서울 서초구 남부순환로 2364 (서초동, 국립국악원)",서초구
352,국립중앙도서관디지털관점,"서울 서초구 반포대로 201 (반포동, 국립중앙도서관)",서초구
353,국립중앙도서관본관점,"서울 서초구 반포대로 201 (반포동, 국립중앙도서관)",서초구
354,남부터미널점,서울 서초구 서초동 ,서초구
355,내방역점,"서울 서초구 서초대로 108 (방배동, 삼보빌딩)",서초구
356,반포지하상가점,"서울 서초구 신반포로 지하 200 (잠원동, 강남터미널지하쇼핑몰)",서초구
357,방배백석점,서울 서초구 방배로 42 (방배동),서초구
358,방배역점,서울 서초구 방배로 87 (방배동),서초구
359,방배중앙점,"서울 서초구 동광로 1 (방배동, 대양빌딩)",서초구
360,서울고교점,서울 서초구 서초동 ,서초구
361,서울고속버스터미널점,"서울 서초구 신반포로 194 (반포동, 강남고속버스터미널)",서초구
362,서울교대점,서울 서초구 서초동 ,서초구
363,서초법조타운점,"서울 서초구 서초중앙로24길 7 (서초동, 동천빌딩)",서초구
364,서초역점,서울 서초구 서초동 ,서초구
365,서초우면중앙점,"서울 서초구 양재대로2길 100-11 (우면동, 서초 리슈빌S)",서초구
366,서초점,서울 서초구 서초대로48길 16 (서초동),서초구
367,신논현역점 ,서울 서초구 강남대로79길 10 (반포동),서초구
368,신사멀버리힐스점,서울 서초구 강남대로 589 (잠원동),서초구
369,양재언남점,"서울 서초구 동산로 60 (양재동, 화성빌딩)",서초구
370,양재점,서울 서초구 남부순환로347길 38 (서초동),서초구
371,양재중앙점,"서울 서초구 강남대로 221 (양재동, 양재역 환승주차장)",서초구
372,양재하나로마트점,"서울 서초구 청계산로 10 (양재동, 농협하나로클럽)",서초구
373,예술의전당점,"서울 서초구 반포대로 32 (서초동, 원일빌딩)",서초구
374,우면동점,"서울 서초구 바우뫼로 20 (우면동, 고호빌딩)",서초구
375,잠원논현점,서울 서초구 신반포로 333 (잠원동),서초구
376,청계산입구역점,서울 서초구 신원동,서초구
377,포이점,서울 서초구 마방로10길 42 (양재동),서초구
378,함지박사거리점,서울 서초구 방배로 234 우신빌딩,서초구
379,고대개운점,서울 성북구 개운사길 30 (안암동5가),성북구
380,고대점,서울 성북구 고려대로24길 35 (안암동5가),성북구
381,국민대점,서울 성북구 정릉로9라길 8 (정릉동),성북구
382,길음뉴타운점,"서울 성북구 길음로 74 (길음동, 길음 에스에이치빌)",성북구
383,길음중앙점,"서울 성북구 도봉로 11 (길음동, 삼주빌딩)",성북구
384,돈암동점,서울 성북구 동소문로 119 (동선동4가),성북구
385,돈암아리랑점,"서울 성북구 아리랑로 75 (돈암동, 돈암코오롱하늘채)",성북구
386,돌곶이역점,서울 성북구 돌곶이로22길 3 (석관동),성북구
387,동덕여대점,서울 성북구 화랑로 99 (하월곡동),성북구
388,동소문동점,서울 성북구 동소문로13길 5 (동소문동4가),성북구
389,보문역점,서울 성북구 보문로 111 (보문동2가),성북구
390,석계중앙점,서울 성북구 화랑로40길 61 (석관동),성북구
391,석관동점,"서울 성북구 돌곶이로8길 22 (석관동, 래미안아트리치)",성북구
392,성신여대역점,서울 성북구 동소문로17길 40 (동소문동6가),성북구
393,성신여대점,서울 성북구 보문로34길 100 (동선동2가),성북구
394,안암래미안점,서울 성북구 보문로30가길 42 (안암동1가),성북구
395,월곡1동점,서울 성북구 오패산로 99 (하월곡동),성북구
396,월곡동아점,서울 성북구 장월로1길 47 (상월곡동),성북구
397,월곡중앙점,"서울 성북구 종암로 167 (하월곡동, 동일하이빌뉴시티)",성북구
398,장위2동점,서울 성북구 화랑로25길 14 (장위동),성북구
399,장위뉴타운점,서울 성북구 장월로 144-1 (장위동),성북구
400,장위동점,서울 성북구 월계로40길 7 (장위동),성북구
401,장위북서울꿈의숲점,서울 성북구 돌곶이로41가길 2 (장위동),성북구
402,장위중앙점,서울 성북구 장위로 35 (장위동),성북구
403,정릉뉴타운점,"서울 성북구 정릉로 307 (정릉동, 라온유 아파트)",성북구
404,정릉아리랑점,"서울 성북구 북악산로 851 (정릉동, 정릉2차 e-편한세상)",성북구
405,정릉점,서울 성북구 보국문로 77 (정릉동),성북구
406,정릉중앙점,서울 성북구 정릉로 251 (정릉동),성북구
407,종암동점,서울 성북구 종암로 105 (종암동),성북구
408,하월곡동점,서울 성북구 오패산로 16 (하월곡동),성북구
409,한성대역점,서울 성북구 동소문로 19 (동소문동1가),성북구
410,한성대점,서울 성북구 삼선교로 10 (삼선동1가),성북구
411,가든파이브점,"서울 송파구 충민로 10 (문정동, 가든파이브툴)",송파구
412,가든파이브테크노관점,"서울 송파구 충민로 66 (문정동, 가든파이브라이프)",송파구
413,가락몰점,"서울 송파구 양재대로 932 (가락동, 가락몰 판매동)",송파구
414,가락중앙점,서울 송파구 송이로 87 (가락동),송파구
415,개롱역점,"서울 송파구 오금로 407 (오금동, 상아아파트)",송파구
416,거여점,서울 송파구 오금로 497 (거여동),송파구
417,마천사거리점,"서울 송파구 마천로 264 (거여동, 흥일빌딩)",송파구
418,문정KDU타워점,"서울 송파구 정의로 70 (문정동, 케이디유타워)",송파구
419,문정문현점,서울 송파구 새말로8길 30 (문정동),송파구
420,방이미성점,"서울 송파구 오금로 251 (방이동, 잠실3차한양아파트)",송파구
421,방이역점,서울 송파구 위례성대로18길 32 (방이동),송파구
422,방이초교점,서울 송파구 가락로 280 (방이동),송파구
423,삼전역점,서울 송파구 백제고분로 263 (삼전동),송파구
424,삼전중앙점,서울 송파구 백제고분로27길 5 (삼전동),송파구
425,서울삼성내과점,"서울 송파구 백제고분로 126 (잠실동, 오룡빌딩)",송파구
426,석촌백제점,"서울 송파구 백제고분로39길 15 (석촌동, 삼경빌딩)",송파구
427,석촌사거리점,"서울 송파구 송파대로 409 (석촌동, 범양빌딩)",송파구
428,석촌역점,"서울 송파구 송파대로 456 (송파동, 웅현빌딩)",송파구
429,송파동점,"서울 송파구 백제고분로41길 5 (송파동, 태원빌딩)",송파구
430,송파문정점,서울 송파구 송이로 159 (가락동),송파구
431,송파올림픽훼미리타운점,"서울 송파구 중대로 24 (문정동, 올림픽훼밀리타운 아카데미 상가)",송파구
432,송파위례점,"서울 송파구 위례광장로 188 (장지동, 아이온스퀘어)",송파구
433,송파잠실점,서울 송파구 삼전로 95 (잠실동),송파구
434,송파파인타운점,"서울 송파구 충민로2길 28 (장지동, 대진플라자2)",송파구
435,송파풍납점,서울 송파구 강동대로9길 17-1 (풍납동),송파구
436,송파하비오점,"서울 송파구 송파대로 111 (문정동, 파크하비오)",송파구
437,송파한양점,"서울 송파구 가락로 165 (송파동, 위례캐슬빌)",송파구
438,오금점,"서울 송파구 오금로 306 (가락동, 가락스타클래스)",송파구
439,오금중앙점 ,"서울 송파구 위례성대로22길 18 (오금동, 이시돌빌딩)",송파구
440,올림픽공원점,서울 송파구 올림픽로 354 (방이동),송파구
441,올림픽프라자점,서울 송파구 양재대로 1222 (방이동),송파구
442,위례포레샤인점,"서울 송파구 위례순환로 477 (장지동, 위례포레샤인23단지)",송파구
443,잠실나루역점,"서울 송파구 올림픽로35길 104 (신천동, 장미아파트)",송파구
